ZPPG_id,Longitude,Latitude,Shortitude,Deltitude,Feng_Shui_of_Surrounding_Area,Local_Value_of_Pi,Murphys_Constant,Strange_Smell_EXTREMELY,Strange_Smell_No,Strange_Smell_Somewhat,Air_Tastes_Like_Apples,Air_Tastes_Like_Burning,Air_Tastes_Like_Copper,Air_Tastes_Like_Mint,Air_Tastes_Like_Nothing_In_Particular,Otherworldly_Skittering,Unearthly_Squelching,Eerie_Silence,Impossible_Humming,Unnatural_Buzzing,ZPPG_Performance
11,75.242,56.686,50.386,-40.161,0.0,3.1682,4.87,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1191
12,47.912,64.086,-5.384,-10.614,0.5,3.1329,3.65,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2079
13,67.874,-55.463,-18.427,31.109,0.0,3.1496,1.67,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2732
14,65.159,-34.568,11.751,-18.93,0.5,3.1172,2.03,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2562
15,100.59,-70.782,-56.824,44.604,0.5,3.1421,5.01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2736
16,21.899,-38.408,-19.29,60.06,0.0,3.1409,5.85,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1291
17,-149.519,24.7,43.334,-42.863,0.5,3.1642,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.17980000000000002
18,115.913,18.499,-14.858,24.558,0.5,3.1299,2.79,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.25129999999999997
19,-142.291,-32.683,-58.033,-30.567,0.5,3.1598,3.53,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1613
20,-65.427,46.742,17.005,-19.194,0.0,3.1432,4.31,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.061200000000000004
21,132.73,-39.434,37.218,33.798,0.5,3.148,4.26,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5254
22,56.514,86.434,-47.837,-46.139,0.5,3.1395,4.71,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.42719999999999997
23,-129.274,15.87,28.768,-21.207,0.5,3.1268,3.78,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0315
24,-55.2,-43.408,61.276,-31.989,0.5,3.1724,4.09,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2206
25,102.776,-54.97,40.251,39.7,0.5,3.145,4.66,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3309
26,0.869,-36.288,11.042,-41.2,0.5,3.1497,3.05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.33399999999999996
27,-63.18,-50.793,-65.621,-27.821,0.0,3.1067,3.95,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2007
28,89.272,48.365,12.292,18.073,0.5,3.1342,4.69,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2917
29,48.93,55.332,-62.088,57.399,0.5,3.1618,3.61,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7784
30,-132.473,-48.012,25.195,-32.941,0.5,3.1338,4.37,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0473
31,-74.408,38.923,-22.033,61.167,0.5,3.144,3.19,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5533
32,-106.69,-82.957,31.557,52.949,1.0,3.1405,4.57,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.10300000000000001
33,-136.501,16.335,-86.373,-36.169,0.5,3.107,2.67,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1576
34,129.403,15.814,-65.899,48.978,0.5,3.1635,1.86,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1597
35,-123.455,-27.545,-42.477,-58.757,0.5,3.1569,3.21,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1313
36,-102.343,-44.9,15.976,18.939,0.0,3.1381,5.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.23550000000000001
37,-111.166,-40.788,-43.37,-41.418,0.0,3.1479,4.84,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29969999999999997
38,-109.37,11.593,14.632,51.957,0.0,3.139,4.51,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25
39,-31.884,-67.8,-33.445,-50.66,0.5,3.1036,2.57,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.18899999999999997
40,20.797,52.802,45.764,32.178,0.5,3.1239,3.15,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.11599999999999999
41,62.16,-25.484,-36.626,-50.666,0.5,3.1351,5.87,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.046
42,-150.668,62.472,41.814,40.451,0.5,3.173,2.17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.022400000000000003
43,-77.218,35.426,-26.803,-36.769,0.5,3.1401,3.68,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.055
44,87.092,36.707,-60.285,-60.605,0.5,3.1371,3.77,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3786
45,111.51,-34.828,44.279,-21.103,0.5,3.1514,5.82,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1387
46,-95.872,43.345,31.04,31.693,0.5,3.1425,4.86,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1328
47,73.521,64.617,32.28,-20.506,0.5,3.1475,3.95,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2273
48,-70.235,44.849,25.662,-45.007,0.5,3.1422,4.46,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.035
49,-23.323,44.758,-30.023,-43.447,0.5,3.1283,5.72,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.08
50,43.864,29.363,64.516,19.337,0.5,3.1525,3.14,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.31620000000000004
51,41.377,-69.993,-21.473,72.483,0.5,3.1464,2.46,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5406
52,-68.125,-15.054,-7.076,12.169,0.0,3.1294,3.88,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2164
53,67.0,-53.726,-43.268,-53.6,0.5,3.1439,4.08,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2257
54,162.83,-44.482,-46.676,32.46,0.5,3.1579,4.91,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1602
55,-112.444,-35.039,49.216,35.999,0.0,3.1306,3.89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1447
56,-79.041,-50.449,4.666,-27.095,0.5,3.1532,3.37,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2757
57,109.485,52.325,44.534,-28.421,0.5,3.1405,3.57,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.42060000000000003
58,142.185,21.205,9.667,40.459,0.5,3.1056,2.34,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.24739999999999998
59,-40.815,-23.26,27.542,-33.359,0.5,3.1233,3.4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2024
60,-111.322,-61.294,69.472,47.136,0.0,3.1112,3.21,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05
61,-163.183,20.378,-20.394,-10.6,0.0,3.139,4.68,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1635
62,-124.129,15.084,70.247,30.405,0.5,3.1205,3.93,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1492
63,15.639,-20.574,82.241,-61.95,0.5,3.1182,3.67,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2023
64,138.938,-54.673,-30.21,22.018,0.5,3.1498,2.94,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8879
65,-16.69,-55.576,21.682,10.642,0.0,3.1496,4.74,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.10339999999999999
66,-8.448,-18.154,-22.374,72.367,0.5,3.1373,1.88,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.532
67,17.381,58.155,23.037,30.478,0.5,3.1394,5.8,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1202
68,-28.531,44.477,43.245,56.955,0.0,3.1364,3.89,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0516
69,-43.245,-72.667,-34.087,26.796,0.5,3.1567,2.62,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2546
70,-37.858,-30.216,13.41,-19.63,0.5,3.1153,4.82,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.085
71,135.95,-68.578,-72.588,-25.734,0.5,3.1642,3.53,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2967
72,-55.649,-31.06,30.976,-54.509,0.5,3.1389,4.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.18710000000000002
73,40.726,-56.68,-33.657,64.919,0.5,3.1259,5.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0139
74,105.561,-28.216,-23.376,-15.158,0.5,3.1482,5.96,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.077
75,4.157,-8.859,21.045,58.093,1.0,3.1476,4.46,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1736
76,-6.946,-61.548,-44.166,29.129,0.5,3.1406,5.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1769
77,38.972,-53.66,50.088,13.476,0.0,3.1345,2.73,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.26839999999999997
78,119.938,-37.952,38.833,-52.23,1.0,3.1547,3.34,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.19899999999999998
79,-140.086,58.629,58.832,20.425,0.5,3.148,5.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0625
80,-56.504,62.593,-51.472,-19.437,0.0,3.1268,1.84,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.45539999999999997
81,92.946,52.111,-25.113,-29.464,0.0,3.1383,3.79,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.36119999999999997
82,170.172,-23.723,-17.567,14.811,0.5,3.1372,5.85,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.071
83,156.874,1.577,-28.66,-38.132,0.0,3.12,4.63,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08789999999999999
84,81.155,55.728,-21.992,72.266,0.5,3.1384,3.28,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3172
85,124.599,66.065,12.918,-12.706,0.5,3.1158,2.2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3513
86,-131.624,-36.62,11.072,49.563,0.5,3.1098,5.47,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1765
87,-10.872,-39.728,-59.66,-43.734,0.5,3.1584,5.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.121
88,-93.219,38.605,-52.328,-44.654,0.5,3.1081,2.06,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.326
89,-122.272,-15.094,-28.549,37.662,0.5,3.1451,4.28,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.19870000000000002
90,48.075,31.61,32.592,-51.391,0.0,3.1371,5.17,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0672
91,52.462,-5.057,37.795,-56.873,0.5,3.1141,4.68,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0349
92,74.791,-53.529,27.167,42.221,0.5,3.1461,3.86,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0731
93,13.393,-64.673,24.566,-41.54,0.0,3.1559,1.29,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08310000000000001
94,-79.755,19.447,-43.445,-52.325,0.5,3.1393,4.36,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2493
95,38.576,12.016,24.044,-60.545,0.5,3.1561,3.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.23379999999999998
96,-174.977,14.453,-30.628,-46.2,0.5,3.1438,2.88,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0567
97,-99.579,62.666,3.122,-42.59,0.5,3.1275,1.88,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.47479999999999994
98,99.427,-85.584,-47.5,70.886,0.5,3.1353,3.19,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4451
99,172.594,2.686,-48.174,-28.764,0.0,3.1354,5.88,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0434
100,125.789,27.792,50.365,-22.653,0.5,3.1237,2.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.12789999999999999
101,110.857,43.393,64.351,20.334,0.5,3.1358,5.62,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1349
102,127.478,44.798,-57.813,22.483,0.5,3.1739,3.17,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.19269999999999998
103,29.311,56.51,-36.273,21.909,0.0,3.126,5.13,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1934
104,141.771,77.332,-24.931,-28.74,0.5,3.111,5.13,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.20379999999999998
105,-19.348,39.945,-32.504,76.228,0.5,3.134,5.61,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1464
106,-57.824,47.895,-38.695,-11.836,0.5,3.156,2.16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2566
107,-119.732,-58.696,-13.699,-40.819,0.5,3.1152,4.76,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1725
108,158.237,55.263,-14.52,-32.025,0.0,3.1494,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5332
109,29.547,22.879,23.68,-32.801,0.5,3.1455,4.7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2824
110,146.136,67.769,30.16,-37.345,0.5,3.1381,5.86,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1247
111,142.493,64.717,-15.25,-34.54,0.5,3.1646,4.73,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.10859999999999999
112,-113.031,-8.984,28.099,-28.196,0.0,3.103,4.65,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0191
113,-41.377,7.016,47.221,-63.908,0.0,3.1374,4.39,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0516
114,171.998,19.773,-25.096,16.726,0.5,3.12,4.32,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.14679999999999999
115,8.449,23.104,30.51,23.418,0.0,3.1182,1.66,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.36719999999999997
116,12.853,-63.987,-40.547,-35.37,0.5,3.1417,3.22,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1808
117,-155.479,-49.878,-45.071,-42.429,0.5,3.1471,2.87,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2334
118,-47.523,23.765,35.194,-7.502,0.5,3.15,4.62,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2768
119,81.097,45.504,-13.27,36.178,0.5,3.1638,2.21,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6940999999999999
120,172.187,34.095,-36.85,-51.754,0.5,3.1339,3.6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22640000000000002
121,-92.313,-19.08,34.964,-15.587,0.5,3.1291,2.56,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0753
122,-33.583,25.741,54.761,32.3,0.0,3.1644,4.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.09140000000000001
123,149.285,-15.673,-6.086,-31.745,0.5,3.1697,4.74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1085
124,127.625,-33.367,9.933,15.007,0.0,3.1216,5.35,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1043
125,11.238,17.712,49.275,14.397,0.5,3.1144,5.06,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1427
126,-108.405,-33.055,-35.587,-28.532,1.0,3.124,2.42,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.38689999999999997
127,-65.251,52.867,-39.641,-52.123,0.5,3.1279,1.13,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4042
128,54.613,36.626,-26.556,-58.374,0.5,3.1362,3.61,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.46520000000000006
129,98.002,26.73,-29.666,-31.659,0.5,3.1577,1.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.056600000000000004
130,35.464,42.203,36.192,37.877,0.0,3.1594,5.48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1139
131,46.909,-22.494,45.444,27.281,0.5,3.1438,5.02,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3015
132,79.434,-29.245,16.804,-31.78,0.5,3.126,5.07,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10339999999999999
133,-138.328,46.762,44.68,-54.195,0.5,3.1145,3.61,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3356
134,135.424,41.025,60.739,-58.776,0.5,3.1245,3.12,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4677
135,109.454,-63.778,-25.401,-27.246,0.0,3.165,3.77,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6014
136,36.386,23.746,17.73,18.807,0.5,3.1193,4.14,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12619999999999998
137,-55.066,-50.71,43.037,5.968,1.0,3.1402,2.89,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4508
138,-133.499,-46.183,-13.094,-62.859,0.5,3.144,4.63,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.1819
139,-11.446,19.153,57.095,-49.927,0.5,3.1465,4.16,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2548
140,74.506,20.969,-40.683,31.391,0.0,3.1266,5.03,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12300000000000001
141,-48.733,61.796,-34.604,59.476,0.5,3.1585,2.63,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1404
142,64.0,87.065,-83.396,-24.522,0.5,3.1194,1.65,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1703
143,16.118,-37.416,15.956,-35.243,0.0,3.1407,4.23,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5635
144,-174.121,-60.204,-64.153,-53.621,1.0,3.118,5.68,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0892
145,-67.017,-31.046,-16.565,45.486,0.5,3.1559,2.1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3979
146,114.678,-55.464,-10.426,34.898,0.5,3.1286,0.79,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6239
147,61.844,-34.787,-53.675,-73.522,0.5,3.1457,4.21,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.26
